Easting,Northing,Key
0000000,0000000,0000000-0000000
0000000,0100000,0000000-0100000
0000000,0200000,0000000-0200000
0000000,0300000,0000000-0300000
0000000,0400000,0000000-0400000
0000000,0500000,0000000-0500000
0000000,0600000,0000000-0600000
0000000,0700000,0000000-0700000
0000000,0800000,0000000-0800000
0000000,0900000,0000000-0900000
0000000,1000000,0000000-1000000
0000000,1100000,0000000-1100000
0000000,1200000,0000000-1200000
0000000,1300000,0000000-1300000
0100000,0000000,0100000-0000000
0100000,0100000,0100000-0100000
0100000,0200000,0100000-0200000
0100000,0300000,0100000-0300000
0100000,0400000,0100000-0400000
0100000,0500000,0100000-0500000
0100000,0600000,0100000-0600000
0100000,0700000,0100000-0700000
0100000,0800000,0100000-0800000
0100000,0900000,0100000-0900000
0100000,1000000,0100000-1000000
0100000,1100000,0100000-1100000
0100000,1200000,0100000-1200000
0100000,1300000,0100000-1300000
0200000,0000000,0200000-0000000
0200000,0100000,0200000-0100000
0200000,0200000,0200000-0200000
0200000,0300000,0200000-0300000
0200000,0400000,0200000-0400000
0200000,0500000,0200000-0500000
0200000,0600000,0200000-0600000
0200000,0700000,0200000-0700000
0200000,0800000,0200000-0800000
0200000,0900000,0200000-0900000
0200000,1000000,0200000-1000000
0200000,1100000,0200000-1100000
0200000,1200000,0200000-1200000
0200000,1300000,0200000-1300000
0300000,0000000,0300000-0000000
0300000,0100000,0300000-0100000
0300000,0200000,0300000-0200000
0300000,0300000,0300000-0300000
0300000,0400000,0300000-0400000
0300000,0500000,0300000-0500000
0300000,0600000,0300000-0600000
0300000,0700000,0300000-0700000
0300000,0800000,0300000-0800000
0300000,0900000,0300000-0900000
0300000,1000000,0300000-1000000
0300000,1100000,0300000-1100000
0300000,1200000,0300000-1200000
0300000,1300000,0300000-1300000
0400000,0000000,0400000-0000000
0400000,0100000,0400000-0100000
0400000,0200000,0400000-0200000
0400000,0300000,0400000-0300000
0400000,0400000,0400000-0400000
0400000,0500000,0400000-0500000
0400000,0600000,0400000-0600000
0400000,0700000,0400000-0700000
0400000,0800000,0400000-0800000
0400000,0900000,0400000-0900000
0400000,1000000,0400000-1000000
0400000,1100000,0400000-1100000
0400000,1200000,0400000-1200000
0400000,1300000,0400000-1300000
0500000,0000000,0500000-0000000
0500000,0100000,0500000-0100000
0500000,0200000,0500000-0200000
0500000,0300000,0500000-0300000
0500000,0400000,0500000-0400000
0500000,0500000,0500000-0500000
0500000,0600000,0500000-0600000
0500000,0700000,0500000-0700000
0500000,0800000,0500000-0800000
0500000,0900000,0500000-0900000
0500000,1000000,0500000-1000000
0500000,1100000,0500000-1100000
0500000,1200000,0500000-1200000
0500000,1300000,0500000-1300000
0600000,0000000,0600000-0000000
0600000,0100000,0600000-0100000
0600000,0200000,0600000-0200000
0600000,0300000,0600000-0300000
0600000,0400000,0600000-0400000
0600000,0500000,0600000-0500000
0600000,0600000,0600000-0600000
0600000,0700000,0600000-0700000
0600000,0800000,0600000-0800000
0600000,0900000,0600000-0900000
0600000,1000000,0600000-1000000
0600000,1100000,0600000-1100000
0600000,1200000,0600000-1200000
0600000,1300000,0600000-1300000
0700000,0000000,0700000-0000000
0700000,0100000,0700000-0100000
0700000,0200000,0700000-0200000
0700000,0300000,0700000-0300000
0700000,0400000,0700000-0400000
0700000,0500000,0700000-0500000
0700000,0600000,0700000-0600000
0700000,0700000,0700000-0700000
0700000,0800000,0700000-0800000
0700000,0900000,0700000-0900000
0700000,1000000,0700000-1000000
0700000,1100000,0700000-1100000
0700000,1200000,0700000-1200000
0700000,1300000,0700000-1300000
